event_id,draw_date,stream,prior_draw_date,prior_result_used_as_seed,seed,base4,seed_core,actual_core,last1_aabc_core,last2_aabc_core,last3_aabc_core,target_core,config,evidence_score,rule_count,max_precision,max_lift,total_support,total_target_hits,final_stream_core_score,has_rule_evidence,matrix_rank_in_stream,daily_opportunity_rank,stream_core_rank_by_deep_score,HISTORY_THROUGH,PLAY_DATE,core_score,full_core_rank,daily_opportunity_rank_num,is_watched8_core,watched8_rank,prior_seed_core,last1_norm,prior_seed_core_for_transition,global_prevcore_to_core_count,stream_prevcore_to_core_count,stream_core_hit_count,lane_top4_normal,lane_watched8_transition,lane_watched8_buried,lane_stream_affinity,trap_keep,trap_lane,trap_lane_weight,trap_priority_score,candidate_member,member_source,member_soft_score,member_soft_reason,existing_final_member_score,existing_member_rank_within_core,existing_daily_member_matrix_rank,existing_played_flag,existing_final_play_rank,existing_final_member_score_num,lane_member_depth,member_trap_score,member_trap_rank_within_core,member_depth_keep,rank_within_stream_trap,trap_final_rank
18,2026-06-18,Illinois | Pick 4 Midday,2026-06-17,2602,2602,,026,,026,137,579,067,ALL_BALANCED,2.35698717944443,1.0,0.7,1.4042,10.0,7.0,2.35698717944443,True,99,7078,99,2026-06-17,2026-06-18,2.35698717944443,99,7078,True,6,026,026,026,1,0,2,False,False,True,False,True,WATCHED8_BURIED,1,998.8749455128055,0667,generated_from_trap_core,1.5900000000000003,same digital root; ±9 sum support; seed-sum last digit in member; digit overlap 2,0.0,,,False,,0.0,3,1017.9549455128056,1,True,1,1
31,2026-06-18,Michigan | Daily 4 Midday,2026-06-17,1868,1868,,168,,168,056,035,389,ALL_BALANCED,2.5413867391067604,1.0,0.7273,1.4062,11.0,8.0,2.5413867391067604,True,92,6747,92,2026-06-17,2026-06-18,2.5413867391067604,92,6747,True,6,168,168,168,2,0,3,False,False,True,False,True,WATCHED8_BURIED,1,1001.7894853586873,3389,generated_from_trap_core,1.27,same digital root; sum delta <=1; seed-sum last digit in member; mirror seed-sum last digit in member; digit overlap 1,0.0,,,False,,0.0,3,1017.0294853586873,1,True,1,2
61,2026-06-18,South Carolina | Pick 4 Midday,2026-06-17,5352,5352,,235,,235,057,046,567,ALL_BALANCED,2.5208113844820152,1.0,0.7,1.5018,10.0,7.0,2.5208113844820152,True,93,6774,93,2026-06-17,2026-06-18,2.5208113844820152,93,6774,True,6,235,235,235,0,0,2,False,False,True,False,True,WATCHED8_BURIED,1,997.2322839845688,5667,generated_from_trap_core,1.5200000000000002,same digital root; ±9 sum support; seed-sum last digit in member; digit overlap 1,0.0,,,False,,0.0,3,1015.4722839845688,1,True,1,3
12,2026-06-18,Georgia | Cash 4 Evening,2026-06-17,1129,1129,,129,,129,467,348,389,ALL_BALANCED,2.2874961744387337,1.0,0.7,1.3628,10.0,7.0,2.2874961744387337,True,94,7163,94,2026-06-17,2026-06-18,2.2874961744387337,94,7163,True,6,129,129,129,0,0,6,False,False,True,True,True,WATCHED8_BURIED,1,999.1006236610535,3389,generated_from_trap_core,1.1700000000000002,±10 sum support; seed-sum last digit in member; mirror seed-sum last digit in member; digit overlap 1,0.0,,,False,,0.0,3,1013.1406236610535,1,True,1,4
18,2026-06-18,Illinois | Pick 4 Midday,2026-06-17,2602,2602,,026,,026,137,579,067,ALL_BALANCED,2.35698717944443,1.0,0.7,1.4042,10.0,7.0,2.35698717944443,True,99,7078,99,2026-06-17,2026-06-18,2.35698717944443,99,7078,True,6,026,026,026,1,0,2,False,False,True,False,True,WATCHED8_BURIED,1,998.8749455128055,0677,generated_from_trap_core,1.04,±10 sum support; seed-sum last digit in member; digit overlap 2,0.0,,,False,,0.0,3,1011.3549455128056,2,True,2,5
35,2026-06-18,Missouri | Pick 4 Midday,2026-06-17,7537,7537,,357,,357,345,137,567,ALL_BALANCED,2.4744840478115506,1.0,0.7,1.4742,10.0,7.0,2.4744840478115506,True,94,6843,94,2026-06-17,2026-06-18,2.4744840478115506,94,6843,True,6,357,357,357,3,0,4,False,False,True,True,True,WATCHED8_BURIED,1,1004.166069416734,5567,generated_from_trap_core,0.5900000000000001,sum delta <=1; mirror seed-sum last digit in member; digit overlap 2,0.0,,,False,,0.0,3,1011.246069416734,1,True,1,6
0,2026-06-18,Arizona | Pick 4 Evening,2026-06-17,4924,4924,,249,,249,469,,457,ALL_BALANCED,2.714100878908039,1.0,0.7143,1.4031,14.0,10.0,2.714100878908039,True,91,6527,91,2026-06-17,2026-06-18,2.714100878908039,91,6527,True,6,249,249,249,4,0,0,False,False,True,False,True,WATCHED8_BURIED,1,1004.3999353076179,4457,generated_from_trap_core,0.52,sum delta <=1; mirror seed-sum last digit in member; digit overlap 1,0.0,,,False,,0.0,3,1010.6399353076179,1,True,1,7
35,2026-06-18,Missouri | Pick 4 Midday,2026-06-17,7537,7537,,357,,357,345,137,567,ALL_BALANCED,2.4744840478115506,1.0,0.7,1.4742,10.0,7.0,2.4744840478115506,True,94,6843,94,2026-06-17,2026-06-18,2.4744840478115506,94,6843,True,6,357,357,357,3,0,4,False,False,True,True,True,WATCHED8_BURIED,1,1004.166069416734,5667,generated_from_trap_core,0.52,sum delta <=2; mirror seed-sum last digit in member; digit overlap 2,0.0,,,False,,0.0,3,1010.406069416734,2,True,2,8
29,2026-06-18,Massachusetts | Numbers Game Midday,2026-06-17,5825,5825,,258,,258,389,389,067,ALL_BALANCED,2.5974121899048757,1.0,0.7273,1.4372,11.0,8.0,2.5974121899048757,True,92,6667,92,2026-06-17,2026-06-18,2.5974121899048757,92,6667,True,6,258,258,258,0,0,3,False,False,True,False,True,WATCHED8_BURIED,1,997.8090942664667,0677,generated_from_trap_core,1.0,same digital root; sum delta <=1; seed-sum last digit in member,0.0,,,False,,0.0,3,1009.8090942664667,1,True,1,9
0,2026-06-18,Arizona | Pick 4 Evening,2026-06-17,4924,4924,,249,,249,469,,457,ALL_BALANCED,2.714100878908039,1.0,0.7143,1.4031,14.0,10.0,2.714100878908039,True,91,6527,91,2026-06-17,2026-06-18,2.714100878908039,91,6527,True,6,249,249,249,4,0,0,False,False,True,False,True,WATCHED8_BURIED,1,1004.3999353076179,4557,generated_from_trap_core,0.45,sum delta <=2; mirror seed-sum last digit in member; digit overlap 1,0.0,,,False,,0.0,3,1009.7999353076178,2,True,2,10
35,2026-06-18,Missouri | Pick 4 Midday,2026-06-17,7537,7537,,357,,357,345,137,567,ALL_BALANCED,2.4744840478115506,1.0,0.7,1.4742,10.0,7.0,2.4744840478115506,True,94,6843,94,2026-06-17,2026-06-18,2.4744840478115506,94,6843,True,6,357,357,357,3,0,4,False,False,True,True,True,WATCHED8_BURIED,1,1004.166069416734,5677,generated_from_trap_core,0.44000000000000006,sum delta <=3; mirror seed-sum last digit in member; digit overlap 2,0.0,,,False,,0.0,3,1009.446069416734,3,True,3,11
31,2026-06-18,Michigan | Daily 4 Midday,2026-06-17,1868,1868,,168,,168,056,035,389,ALL_BALANCED,2.5413867391067604,1.0,0.7273,1.4062,11.0,8.0,2.5413867391067604,True,92,6747,92,2026-06-17,2026-06-18,2.5413867391067604,92,6747,True,6,168,168,168,2,0,3,False,False,True,False,True,WATCHED8_BURIED,1,1001.7894853586873,3889,generated_from_trap_core,0.6200000000000001,seed-sum last digit in member; mirror seed-sum last digit in member; digit overlap 1,0.0,,,False,,0.0,3,1009.2294853586874,2,True,2,12
31,2026-06-18,Michigan | Daily 4 Midday,2026-06-17,1868,1868,,168,,168,056,035,389,ALL_BALANCED,2.5413867391067604,1.0,0.7273,1.4062,11.0,8.0,2.5413867391067604,True,92,6747,92,2026-06-17,2026-06-18,2.5413867391067604,92,6747,True,6,168,168,168,2,0,3,False,False,True,False,True,WATCHED8_BURIED,1,1001.7894853586873,3899,generated_from_trap_core,0.6200000000000001,seed-sum last digit in member; mirror seed-sum last digit in member; digit overlap 1,0.0,,,False,,0.0,3,1009.2294853586874,3,True,3,13
61,2026-06-18,South Carolina | Pick 4 Midday,2026-06-17,5352,5352,,235,,235,057,046,567,ALL_BALANCED,2.5208113844820152,1.0,0.7,1.5018,10.0,7.0,2.5208113844820152,True,93,6774,93,2026-06-17,2026-06-18,2.5208113844820152,93,6774,True,6,235,235,235,0,0,2,False,False,True,False,True,WATCHED8_BURIED,1,997.2322839845688,5677,generated_from_trap_core,0.97,±10 sum support; seed-sum last digit in member; digit overlap 1,0.0,,,False,,0.0,3,1008.8722839845688,2,True,2,14
0,2026-06-18,Arizona | Pick 4 Evening,2026-06-17,4924,4924,,249,,249,469,,457,ALL_BALANCED,2.714100878908039,1.0,0.7143,1.4031,14.0,10.0,2.714100878908039,True,91,6527,91,2026-06-17,2026-06-18,2.714100878908039,91,6527,True,6,249,249,249,4,0,0,False,False,True,False,True,WATCHED8_BURIED,1,1004.3999353076179,4577,generated_from_trap_core,0.27,mirror seed-sum last digit in member; digit overlap 1,0.0,,,False,,0.0,3,1007.6399353076179,3,True,3,15
12,2026-06-18,Georgia | Cash 4 Evening,2026-06-17,1129,1129,,129,,129,467,348,389,ALL_BALANCED,2.2874961744387337,1.0,0.7,1.3628,10.0,7.0,2.2874961744387337,True,94,7163,94,2026-06-17,2026-06-18,2.2874961744387337,94,7163,True,6,129,129,129,0,0,6,False,False,True,True,True,WATCHED8_BURIED,1,999.1006236610535,3889,generated_from_trap_core,0.6200000000000001,seed-sum last digit in member; mirror seed-sum last digit in member; digit overlap 1,0.0,,,False,,0.0,3,1006.5406236610536,2,True,2,16
